spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel_extrap,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
2,0.181818182,0,,0,0,10.48064225,0.952785659,0,,hippocampus,33
2,0.5,0,,0,0,11.00715465,2.751788663,0,,hippocampus,38
61,0.137078652,41,0.14801444,0.07504264,2.864528733,446.8307976,1.004114152,300.3288968,1.084219844,hippocampus,41
8,0.363636364,2,0.5,0.0205227,0.514511858,38.48744347,1.749429249,9.621860868,2.405465217,hippocampus,83
28,0.125560538,11,0.094827586,0.0360246,1.033100552,154.0882926,0.690978891,60.53468638,0.521850745,hippocampus,85
5,0.058823529,0,0,0.0311304,0.767189525,23.64591659,0.278187254,0,0,hippocampus,86
1,0.03125,0,0,0.0009855,0.023653348,4.6057904,0.14393095,0,0,hippocampus,89
38,0.082429501,11,0.046025105,0.014877,0.350073895,171.591648,0.372216156,49.67126653,0.207829567,hippocampus,90
7,0.184210526,3,0.214285714,0,0,30.21865354,0.795227725,12.95085152,0.925060823,hippocampus,93
4,0.25,1,0.333333333,0.0022395,0.05197089,17.81300795,1.113312997,4.453251987,1.484417329,hippocampus,95
1,0.055555556,0,,,,3.089776547,0.171654253,,,hippocampus,108
15,0.088757396,0,,,,46.36039956,0.274321891,,,hippocampus,109
3,0.25,0,,,,9.739058168,0.811588181,,,hippocampus,111
12,0.166666667,0,,,,37.35780685,0.518858428,,,hippocampus,112
19,0.243589744,0,,,,60.7535357,0.778891483,,,hippocampus,113
19,0.211111111,0,,,,68.20474346,0.757830483,,,hippocampus,114
1,0.083333333,0,,,,3.429543459,0.285795288,,,hippocampus,115
3,0.111111111,0,,,,9.422939203,0.348997748,,,hippocampus,116
13,0.151162791,0,,,,38.703723,0.450043291,,,hippocampus,121
2,0.333333333,0,,,,6.18494214,1.03082369,,,hippocampus,122
22,0.11827957,0,,,,67.17700836,0.361166712,,,hippocampus,123
2,0.181818182,0,,0,0,10.48064225,0.952785659,0,,cortex,33
1,0.25,0,,0,0,5.503577325,1.375894331,0,,cortex,38
184,0.413483146,131,0.472924188,0.18398432,1.804832381,1347.817488,3.028803344,959.5874506,3.464214623,cortex,41
8,0.363636364,0,0,0.0043021,0.027717393,38.48744347,1.749429249,0,0,cortex,83
